id,opened,closed,status,reason,type,location,neighborhood,zip,latitude,longitude
1.01E+11,10/10/13 9:34,10/18/13 10:33,Closed,Graffiti,Graffiti Removal,INTERSECTION of Putnam St & Roxbury St  Roxbury  MA  ,Roxbury,,42.28327,-71.0851
1.01E+11,10/10/13 9:33,10/15/13 8:44,Closed,General Request,General Request,INTERSECTION of Putnam St & Roxbury St  Roxbury  MA  ,Roxbury,,42.28327,-71.0851
1.01E+11,10/9/13 23:40,,Open,General Request,General Request,16 Guild St  Roxbury  MA  02119,Roxbury,2119,42.32624,-71.08855
1.01E+11,10/9/13 20:44,,Open,Highway Maintenance,Request for Pothole Repair,INTERSECTION of Burrell St & Norfolk Ave  Roxbury  MA  ,Roxbury,,42.30102,-71.13235
1.01E+11,10/9/13 18:42,10/10/13 9:53,Closed,General Request,General Request,151 Centre St  Roxbury  MA  02119,Roxbury,2119,42.326088,-71.096786
1.01E+11,10/9/13 18:32,10/10/13 13:39,Closed,General Request,General Request,INTERSECTION of Bishop Joseph Smith Way & Geneva Ave  Dorchester  MA  ,Roxbury,,42.2874,-71.06614
1.01E+11,10/9/13 18:15,,Open,Signs & Signals,Sign Repair,64 Magazine St  Roxbury  MA  02119,Roxbury,2119,42.3266,-71.07191
1.01E+11,10/9/13 17:26,10/10/13 12:09,Closed,General Request,General Request,71 Cedar St  Roxbury  MA  02119,Roxbury,2119,42.3594,-71.0587
1.01E+11,10/9/13 8:47,10/9/13 11:33,Closed,General Request,General Request,INTERSECTION of Marcella St & Centre Street Ter  Roxbury  MA  ,Roxbury,,42.353067,-71.062842
1.01E+11,10/8/13 21:37,10/9/13 23:05,Closed,Street Lights,Street Light Outages,INTERSECTION of Elmore St & Mayfair St  Roxbury  MA  ,Roxbury,,42.29295,-71.12207
1.01E+11,10/8/13 9:11,10/8/13 11:31,Closed,General Request,General Request,158 Centre St  Roxbury  MA  02119,Roxbury,2119,42.32503,-71.09709
1.01E+11,10/8/13 7:34,10/8/13 14:02,Closed,General Request,General Request,25A Warren St  Roxbury  MA  02119,Roxbury,2119,42.3594,-71.0587
1.01E+11,10/8/13 7:33,,Open,General Request,General Request,INTERSECTION of Dudley St & Washington St  Roxbury  MA  ,Roxbury,,42.28933,-71.12842
1.01E+11,10/8/13 6:21,,Open,Street Lights,Street Light Outages,INTERSECTION of Elmore St & Kensington St  Roxbury  MA  ,Roxbury,,42.293336,-71.122057
1.01E+11,10/7/13 22:34,,Open,General Request,General Request,INTERSECTION of Cedar St & Centre St  Roxbury  MA  ,Roxbury,,42.34384,-71.141442
1.01E+11,10/7/13 18:45,10/9/13 15:42,Closed,General Request,General Request,13 Dudley St  Roxbury  MA  02119,Roxbury,2119,42.329333,-71.089208
1.01E+11,10/7/13 17:51,10/9/13 12:44,Closed,General Request,General Request,INTERSECTION of Alvah Kittredge Park & Millmont St  Roxbury  MA  ,Roxbury,,42.297898,-71.056017
1.01E+11,10/7/13 8:10,10/7/13 14:29,Closed,General Request,General Request,221 Walnut Ave  Roxbury  MA  02119,Roxbury,2119,42.31926,-71.09051
1.01E+11,10/6/13 22:18,10/7/13 14:49,Closed,General Request,General Request,2-18 Sojourner Truth Ct  Mission Hill  MA  02120,Roxbury,2120,42.3594,-71.0587
1.01E+11,10/6/13 17:15,,Open,General Request,General Request,INTERSECTION of Highland St & Morley St  Roxbury  MA  ,Roxbury,,42.3541,-71.05228
1.01E+11,10/6/13 12:32,10/8/13 9:00,Closed,General Request,General Request,INTERSECTION of Dudley St & Dunmore St  Roxbury  MA  ,Roxbury,,42.29007,-71.12811
1.01E+11,10/6/13 8:58,,Open,General Request,General Request,INTERSECTION of Warwick St & Windsor St  Mission Hill  MA  ,Roxbury,,42.35226,-71.17076
1.01E+11,10/6/13 8:58,,Open,Signs & Signals,Sign Repair,INTERSECTION of Harold St & Townsend St  Dorchester  MA  ,Roxbury,,42.27873,-71.08811
1.01E+11,10/6/13 8:55,10/11/13 10:02,Closed,General Request,General Request,227 Roxbury St  Roxbury  MA  02119,Roxbury,2119,42.3303,-71.09235
1.01E+11,10/6/13 8:54,10/11/13 7:13,Closed,Graffiti,Graffiti Removal,544P Massachusetts Ave  Roxbury  MA  02118,Roxbury,2118,42.3594,-71.0587
1.01E+11,10/4/13 9:00,10/4/13 12:06,Closed,Highway Maintenance,Request for Pothole Repair,1155-1175 Tremont St  Boston  MA  02115,Roxbury,2115,42.334945,-71.089106
1.01E+11,10/4/13 8:20,10/7/13 10:43,Closed,General Request,General Request,85 Bragdon St  Roxbury  MA  02119,Roxbury,2119,42.31921,-71.09933
1.01E+11,10/3/13 11:18,10/4/13 14:56,Closed,Street Lights,Street Light Outages,INTERSECTION of Albion St & Clifton St  Roxbury  MA  ,Roxbury,,42.3467,-71.15435
1.01E+11,10/3/13 10:59,10/4/13 14:25,Closed,General Request,General Request,8 Marshfield St  Roxbury  MA  02119,Roxbury,2119,42.3228,-71.06974
1.01E+11,10/3/13 8:27,10/11/13 11:21,Closed,General Request,General Request,1535 Washington St  Roxbury  MA  02118,Roxbury,2118,42.339656,-71.073555
